Run;Step;Algorithm;Policy;J;Avg_cost;Tau;Epsilon
1;2000;gr-learning;epsilon;2.299;-;-;5.49e-02
1;4000;gr-learning;epsilon;2.164;-;-;3.01e-02
1;6000;gr-learning;epsilon;2.125;-;-;1.65e-02
1;8000;gr-learning;epsilon;2.094;-;-;9.07e-03
1;10000;gr-learning;epsilon;2.079;-;-;4.98e-03
1;12000;gr-learning;epsilon;2.087;-;-;2.73e-03
1;14000;gr-learning;epsilon;2.088;-;-;1.50e-03
1;16000;gr-learning;epsilon;2.066;-;-;8.22e-04
1;18000;gr-learning;epsilon;2.044;-;-;4.51e-04
1;20000;gr-learning;epsilon;2.030;-;-;2.48e-04
2;2000;gr-learning;epsilon;2.464;-;-;5.49e-02
2;4000;gr-learning;epsilon;2.324;-;-;3.01e-02
2;6000;gr-learning;epsilon;2.193;-;-;1.65e-02
2;8000;gr-learning;epsilon;2.154;-;-;9.07e-03
2;10000;gr-learning;epsilon;2.111;-;-;4.98e-03
2;12000;gr-learning;epsilon;2.112;-;-;2.73e-03
2;14000;gr-learning;epsilon;2.092;-;-;1.50e-03
2;16000;gr-learning;epsilon;2.083;-;-;8.22e-04
2;18000;gr-learning;epsilon;2.073;-;-;4.51e-04
2;20000;gr-learning;epsilon;2.070;-;-;2.48e-04
3;2000;gr-learning;epsilon;2.647;-;-;5.49e-02
3;4000;gr-learning;epsilon;2.384;-;-;3.01e-02
3;6000;gr-learning;epsilon;2.293;-;-;1.65e-02
3;8000;gr-learning;epsilon;2.239;-;-;9.07e-03
3;10000;gr-learning;epsilon;2.213;-;-;4.98e-03
3;12000;gr-learning;epsilon;2.199;-;-;2.73e-03
3;14000;gr-learning;epsilon;2.169;-;-;1.50e-03
3;16000;gr-learning;epsilon;2.149;-;-;8.22e-04
3;18000;gr-learning;epsilon;2.139;-;-;4.51e-04
3;20000;gr-learning;epsilon;2.126;-;-;2.48e-04
4;2000;gr-learning;epsilon;2.007;-;-;5.49e-02
4;4000;gr-learning;epsilon;1.916;-;-;3.01e-02
4;6000;gr-learning;epsilon;1.889;-;-;1.65e-02
4;8000;gr-learning;epsilon;1.879;-;-;9.07e-03
