Run;Step;Algorithm;Policy;J;Avg_cost;Tau;Epsilon
1;2000;gr-learning;softmax;2.043;-;1.10e+00;-
1;4000;gr-learning;softmax;1.963;-;4.06e-01;-
1;6000;gr-learning;softmax;1.934;-;1.49e-01;-
1;8000;gr-learning;softmax;1.883;-;5.49e-02;-
1;10000;gr-learning;softmax;1.866;-;2.02e-02;-
1;12000;gr-learning;softmax;1.861;-;7.43e-03;-
1;14000;gr-learning;softmax;1.858;-;2.73e-03;-
1;16000;gr-learning;softmax;1.845;-;1.00e-03;-
1;18000;gr-learning;softmax;1.840;-;3.69e-04;-
1;20000;gr-learning;softmax;1.835;-;1.36e-04;-
2;2000;gr-learning;softmax;2.043;-;1.10e+00;-
2;4000;gr-learning;softmax;2.032;-;4.06e-01;-
2;6000;gr-learning;softmax;1.965;-;1.49e-01;-
2;8000;gr-learning;softmax;1.949;-;5.49e-02;-
2;10000;gr-learning;softmax;1.925;-;2.02e-02;-
2;12000;gr-learning;softmax;1.931;-;7.43e-03;-
2;14000;gr-learning;softmax;1.925;-;2.73e-03;-
2;16000;gr-learning;softmax;1.923;-;1.00e-03;-
2;18000;gr-learning;softmax;1.917;-;3.69e-04;-
2;20000;gr-learning;softmax;1.914;-;1.36e-04;-
3;2000;gr-learning;softmax;2.129;-;1.10e+00;-
3;4000;gr-learning;softmax;2.042;-;4.06e-01;-
3;6000;gr-learning;softmax;1.986;-;1.49e-01;-
3;8000;gr-learning;softmax;1.945;-;5.49e-02;-
3;10000;gr-learning;softmax;1.933;-;2.02e-02;-
3;12000;gr-learning;softmax;1.913;-;7.43e-03;-
3;14000;gr-learning;softmax;1.902;-;2.73e-03;-
3;16000;gr-learning;softmax;1.897;-;1.00e-03;-
3;18000;gr-learning;softmax;1.879;-;3.69e-04;-
3;20000;gr-learning;softmax;1.885;-;1.36e-04;-
4;2000;gr-learning;softmax;2.047;-;1.10e+00;-
4;4000;gr-learning;softmax;1.972;-;4.06e-01;-
4;6000;gr-learning;softmax;1.928;-;1.49e-01;-
4;8000;gr-learning;softmax;1.901;-;5.49e-02;-
4;10000;gr-learning;softmax;1.879;-;2.02e-02;-
