Run;Step;Algorithm;Policy;J;Avg_cost;Tau;Epsilon
1;2000;q-learning;epsilon;-;2.591;-;5.49e-02
1;4000;q-learning;epsilon;-;2.548;-;3.01e-02
1;6000;q-learning;epsilon;-;2.579;-;1.65e-02
1;8000;q-learning;epsilon;-;2.563;-;9.07e-03
1;10000;q-learning;epsilon;-;2.579;-;4.98e-03
1;12000;q-learning;epsilon;-;2.599;-;2.73e-03
1;14000;q-learning;epsilon;-;2.594;-;1.50e-03
1;16000;q-learning;epsilon;-;2.568;-;8.22e-04
1;18000;q-learning;epsilon;-;2.549;-;4.51e-04
1;20000;q-learning;epsilon;-;2.532;-;2.48e-04
2;2000;q-learning;epsilon;-;2.566;-;5.49e-02
2;4000;q-learning;epsilon;-;2.582;-;3.01e-02
2;6000;q-learning;epsilon;-;2.534;-;1.65e-02
2;8000;q-learning;epsilon;-;2.555;-;9.07e-03
2;10000;q-learning;epsilon;-;2.538;-;4.98e-03
2;12000;q-learning;epsilon;-;2.617;-;2.73e-03
2;14000;q-learning;epsilon;-;2.606;-;1.50e-03
2;16000;q-learning;epsilon;-;2.601;-;8.22e-04
2;18000;q-learning;epsilon;-;2.598;-;4.51e-04
2;20000;q-learning;epsilon;-;2.583;-;2.48e-04
3;2000;q-learning;epsilon;-;2.905;-;5.49e-02
3;4000;q-learning;epsilon;-;2.746;-;3.01e-02
3;6000;q-learning;epsilon;-;2.670;-;1.65e-02
3;8000;q-learning;epsilon;-;2.630;-;9.07e-03
3;10000;q-learning;epsilon;-;2.653;-;4.98e-03
3;12000;q-learning;epsilon;-;2.637;-;2.73e-03
3;14000;q-learning;epsilon;-;2.635;-;1.50e-03
3;16000;q-learning;epsilon;-;2.614;-;8.22e-04
3;18000;q-learning;epsilon;-;2.587;-;4.51e-04
3;20000;q-learning;epsilon;-;2.591;-;2.48e-04
4;2000;q-learning;epsilon;-;2.643;-;5.49e-02
4;4000;q-learning;epsilon;-;2.596;-;3.01e-02
4;6000;q-learning;epsilon;-;2.606;-;1.65e-02
4;8000;q-learning;epsilon;-;2.622;-;9.07e-03
4;10000;q-learning;epsilon;-;2.605;-;4.98e-03
4;12000;q-learning;epsilon;-;2.591;-;2.73e-03
4;14000;q-learning;epsilon;-;2.592;-;1.50e-03
4;16000;q-learning;epsilon;-;2.598;-;8.22e-04
4;18000;q-learning;epsilon;-;2.565;-;4.51e-04
4;20000;q-learning;epsilon;-;2.546;-;2.48e-04
5;2000;q-learning;epsilon;-;2.575;-;5.49e-02
5;4000;q-learning;epsilon;-;2.525;-;3.01e-02
5;6000;q-learning;epsilon;-;2.537;-;1.65e-02
5;8000;q-learning;epsilon;-;2.534;-;9.07e-03
5;10000;q-learning;epsilon;-;2.533;-;4.98e-03
5;12000;q-learning;epsilon;-;2.561;-;2.73e-03
5;14000;q-learning;epsilon;-;2.557;-;1.50e-03
5;16000;q-learning;epsilon;-;2.551;-;8.22e-04
5;18000;q-learning;epsilon;-;2.543;-;4.51e-04
5;20000;q-learning;epsilon;-;2.534;-;2.48e-04
6;2000;q-learning;epsilon;-;2.607;-;5.49e-02
6;4000;q-learning;epsilon;-;2.596;-;3.01e-02
6;6000;q-learning;epsilon;-;2.599;-;1.65e-02
6;8000;q-learning;epsilon;-;2.630;-;9.07e-03
6;10000;q-learning;epsilon;-;2.678;-;4.98e-03
6;12000;q-learning;epsilon;-;2.663;-;2.73e-03
6;14000;q-learning;epsilon;-;2.641;-;1.50e-03
6;16000;q-learning;epsilon;-;2.624;-;8.22e-04
6;18000;q-learning;epsilon;-;2.606;-;4.51e-04
6;20000;q-learning;epsilon;-;2.594;-;2.48e-04
7;2000;q-learning;epsilon;-;2.680;-;5.49e-02
7;4000;q-learning;epsilon;-;2.632;-;3.01e-02
7;6000;q-learning;epsilon;-;2.655;-;1.65e-02
7;8000;q-learning;epsilon;-;2.628;-;9.07e-03
7;10000;q-learning;epsilon;-;2.638;-;4.98e-03
7;12000;q-learning;epsilon;-;2.662;-;2.73e-03
7;14000;q-learning;epsilon;-;2.640;-;1.50e-03
7;16000;q-learning;epsilon;-;2.636;-;8.22e-04
7;18000;q-learning;epsilon;-;2.625;-;4.51e-04
7;20000;q-learning;epsilon;-;2.591;-;2.48e-04
8;2000;q-learning;epsilon;-;2.592;-;5.49e-02
8;4000;q-learning;epsilon;-;2.634;-;3.01e-02
8;6000;q-learning;epsilon;-;2.655;-;1.65e-02
8;8000;q-learning;epsilon;-;2.669;-;9.07e-03
